actinidia_chinensis;Red5_PS1_1.69.0
brachypodium_distachyon;Brachypodium_distachyon_v3.0
branchiostoma_lanceolatum;BraLan2
brassica_napus;AST_PRJEB5043_v1
brassica_oleracea;BOL
brassica_rapa;Brapa_1.0
brugia_malayi;Bmal-4.0
caenorhabditis_brenneri;C_brenneri-6.0.1b
caenorhabditis_briggsae;CB4
caenorhabditis_elegans;WBcel235
caenorhabditis_japonica;C_japonica-7.0.1
caenorhabditis_remanei;C_remanei-15.0.1
callithrix_jacchus;mCalJac1.pat.X
callorhinchus_milii;Callorhinchus_milii-6.1.3
camelus_dromedarius;CamDro2
canis_lupus_dingo;ASM325472v1
canis_lupus_familiaris;Dog10K_Boxer_Tasha
capitella_teleta;Capitella_teleta_v1.0
capra_hircus;ARS1
capsicum_annuum;ASM51225v2
carlito_syrichta;Tarsius_syrichta-2.0.1
castor_canadensis;C.can_genome_v1.0
cavia_aperea;CavAp1.0
cavia_porcellus;Cavpor3.0
cercocebus_atys;Caty_1.0
chara_braunii;Cbr_1.0
chelonoidis_abingdonii;ASM359739v1
chinchilla_lanigera;ChiLan1.0
chlamydomonas_reinhardtii;Chlamydomonas_reinhardtii_v5.5
chlorocebus_sabaeus;ChlSab1.1
choloepus_hoffmanni;choHof1
chondrus_crispus;ASM35022v2
chrysemys_picta;Chrysemys_picta_bellii-3.0.3
cimex_lectularius;Clec_2.0
ciona_intestinalis;KH
citrus_clementina;Citrus_clementina_v1.0
clupea_harengus;Ch_v2.0.2
coffea_canephora;AUK_PRJEB4211_v1
colletotrichum_graminicola;C_graminicola_M1_001_V1
colobus_angolensis;Cang.pa_1.0
corchorus_capsularis;CCACVL1_1.0
cottoperca_gobio;fCotGob3.1
coturnix_japonica;Coturnix_japonica_2.0
crassostrea_gigas;GCA902806645v1
crocodylus_porosus;CroPor_comp1
cucumis_sativus;ASM407v2
culex_quinquefasciatus;CpipJ2
culicoides_sonorensis;Cson1
cyanidioschyzon_merolae;ASM9120v1
cynara_cardunculus;CcrdV1
cynoglossus_semilaevis;Cse_v1.0
cyprinodon_variegatus;C_variegatus-1.0
danio_rerio;GRCz11
daphnia_magna;GCA020631705v2
daphnia_pulex;GCA021134715v1
dasypus_novemcinctus;Dasnov3.0
daucus_carota;ASM162521v1
denticeps_clupeoides;fDenClu1.1
dictyostelium_discoideum;dicty_2.7
dinothrombium_tinctorium;DtinU1
dioscorea_rotundata;TDr96_F1_v2_PseudoChromosome
dipodomys_ordii;Dord_2.0
dromaius_novaehollandiae;droNov1
drosophila_ananassae;dana_caf1
drosophila_erecta;dere_caf1
drosophila_grimshawi;dgri_caf1
drosophila_melanogaster;BDGP6.32
drosophila_mojavensis;dmoj_caf1
drosophila_persimilis;dper_caf1
drosophila_pseudoobscura;Dpse_3.0
drosophila_sechellia;dsec_caf1
drosophila_simulans;ASM75419v3
drosophila_virilis;dvir_caf1
drosophila_willistoni;dwil_caf1
drosophila_yakuba;dyak_caf1
echeneis_naucrates;fEcheNa1.1
echinops_telfairi;TENREC
electrophorus_electricus;Ee_SOAP_WITH_SSPACE
emiliania_huxleyi;Emiliana_huxleyi_CCMP1516_main_genome_assembly...
entamoeba_histolytica;JCVI-ESG2-1.0
eptatretus_burgeri;Eburgeri_3.2
equus_caballus;EquCab3.0
eragrostis_curvula;CERZOS_E.curvula1.0
eragrostis_tef;ASM97063v1
erpetoichthys_calabaricus;fErpCal1.1
esox_lucius;Eluc_v4
felis_catus;Felis_catus_9.0
ficedula_albicollis;FicAlb1.5
folsomia_candida;ASM221717v1
fukomys_damarensis;DMR_v1.0
fundulus_heteroclitus;Fundulus_heteroclitus-3.0.2
fusarium_oxysporum;FO2
fusarium_verticillioides;ASM14955v1
gadus_morhua;gadMor3.0
gaeumannomyces_tritici;Gae_graminis_V2
galdieria_sulphuraria;ASM34128v1
gallus_gallus;GRCg6a
giardia_lamblia;GL2
globisporangium_irregulare;pir_scaffolds_v1
globisporangium_iwayamae;pug
glossina_austeni;GausT1
glossina_brevipalpis;GbreI1
glossina_morsitans;GmorY1
glossina_pallidipes;GpalI1
glossina_palpalis;GpapI1
glycine_max;Glycine_max_v2.1
gopherus_agassizii;ASM289641v1
gossypium_raimondii;Graimondii2_0_v6
gouania_willdenowi;fGouWil2.1
guillardia_theta;Guith1
haplochromis_burtoni;AstBur1.0
helianthus_annuus;HanXRQr2.0-SUNRISE
heliconius_melpomene;Hmel1
helobdella_robusta;Helro1
hippocampus_comes;H_comes_QL1_v1
hofstenia_miamia;HmiaM1
homo_sapiens;GRCh38.p13
hordeum_vulgare;MorexV3_pseudomolecules_assembly
hucho_hucho;ASM331708v1
hyaloperonospora_arabidopsidis;HyaAraEmoy2_2.0
ictalurus_punctatus;IpCoco_1.2
ictidomys_tridecemlineatus;SpeTri2.0
ipomoea_triloba;ASM357664v1
ixodes_scapularis;IscaW1
jaculus_jaculus;JacJac1.0
junco_hyemalis;ASM382977v1
labrus_bergylta;BallGen_V1
larimichthys_crocea;L_crocea_2.0
lates_calcarifer;ASB_HGAPassembly_v1
latimeria_chalumnae;LatCha1
leersia_perrieri;Lperr_V1.4
leishmania_major;ASM272v2
lepeophtheirus_salmonis;LSalAtl2s
lepidothrix_coronata;Lepidothrix_coronata-1.0
lepisosteus_oculatus;LepOcu1
leptosphaeria_maculans;ASM23037v1
leptotrombidium_deliense;LdelU1
lingula_anatina;LinAna1.0
loa_loa;Loa_loa_V3
lonchura_striata;LonStrDom1
lottia_gigantea;Lotgi1
lucilia_cuprina;ASM118794v1
lupinus_angustifolius;LupAngTanjil_v1.0
lutzomyia_longipalpis;LlonJ1
lynx_canadensis;mLynCan4_v1.p
macaca_fascicularis;Macaca_fascicularis_6.0
macaca_mulatta;Mmul_10
macaca_nemestrina;Mnem_1.0
magnaporthe_oryzae;MG8
magnaporthe_poae;Mag_poae_ATCC_64411_V1
manacus_vitellinus;ASM171598v2
mandrillus_leucophaeus;Mleu.le_1.0
manihot_esculenta;Manihot_esculenta_v6
marchantia_polymorpha;Marchanta_polymorpha_v1
marmota_marmota;marMar2.1
mastacembelus_armatus;fMasArm1.2
mayetiola_destructor;Mdes_1.0
maylandia_zebra;M_zebra_UMD2a
medicago_truncatula;MedtrA17_4.0
megaselia_scalaris;Msca1
meleagris_gallopavo;Turkey_5.1
melitaea_cinxia;MelCinx1.0
melopsittacus_undulatus;bMelUnd1.mat.Z
meriones_unguiculatus;MunDraft-v1.0
mesocricetus_auratus;MesAur1.0
microcebus_murinus;Mmur_3.0
microtus_ochrogaster;MicOch1.0
mnemiopsis_leidyi;MneLei_Aug2011
monodelphis_domestica;ASM229v1
monopterus_albus;M_albus_1.0
musa_acuminata;Musa_acuminata_v2
musca_domestica;MdomA1
mus_caroli;CAROLI_EIJ_v1.1
mus_musculus;GRCm39
mus_pahari;PAHARI_EIJ_v1.1
mus_spicilegus;MUSP714
mus_spretus;SPRET_EiJ_v1
mustela_putorius;MusPutFur1.0
myotis_lucifugus;Myoluc2.0
myripristis_murdjan;fMyrMur1.1
nannospalax_galili;S.galili_v1.0
nasonia_vitripennis;Nvit_psr_1.1
nematostella_vectensis;ASM20922v1
neovison_vison;NNQGG.v01
neurospora_crassa;NC12
nicotiana_attenuata;NIATTr2
nomascus_leucogenys;Nleu_3.0
notamacropus_eugenii;Meug_1.0
ochotona_princeps;OchPri2.0-Ens
octodon_degus;OctDeg1.0
octopus_bimaculoides;PRJNA270931
olea_europaea;O_europaea_v1
onchocerca_volvulus;ASM49940v2
orchesella_cincta;ASM171814v1
oreochromis_aureus;ASM587006v1
oreochromis_niloticus;O_niloticus_UMD_NMBU
ornithorhynchus_anatinus;mOrnAna1.p.v1
oryctolagus_cuniculus;OryCun2.0
oryza_barthii;O.barthii_v1
oryza_brachyantha;Oryza_brachyantha.v1.4b
oryza_glaberrima;Oryza_glaberrima_V1
oryza_glumipatula;Oryza_glumaepatula_v1.5
oryza_longistaminata;O_longistaminata_v1.0
oryza_meridionalis;Oryza_meridionalis_v1.3
oryza_punctata;Oryza_punctata_v1.2
oryza_rufipogon;OR_W1943
oryza_sativa_indica;ASM465v1
oryza_sativa_japonica;IRGSP-1.0
oryza_sativa_spontanea;Oryza_nivara_v1.0
oryzias_latipes;ASM223467v1
oryzias_melastigma;Om_v0.7.RACA
ostreococcus_lucimarinus;ASM9206v1
otolemur_garnettii;OtoGar3
ovis_aries;Oar_v3.1
panicum_hallii_fil2;PHallii_v3.1
panicum_hallii_hal2;PhalliiHAL_v2.1
panicum_hallii;PHallii_v3.1
pan_paniscus;panpan1.1
panthera_pardus;PanPar1.0
panthera_tigris;PanTig1.0
pan_troglodytes;Pan_tro_3.0
papio_anubis;Panubis1.0
parambassis_ranga;fParRan2.1
paramecium_tetraurelia;ASM16542v1
paramormyrops_kingsleyae;PKINGS_0.1
pediculus_humanus;PhumU2
pelodiscus_sinensis;PelSin_1.0
peromyscus_maniculatus;HU_Pman_2.1
petromyzon_marinus;Pmarinus_7.0
phaeodactylum_tricornutum;ASM15095v2
phaeosphaeria_nodorum;ASM14691v1
phascolarctos_cinereus;phaCin_unsw_v4.1
phaseolus_vulgaris;PhaVulg1_0
phlebotomus_papatasi;PpapI1
physcomitrium_patens;Phypa_V3
phytophthora_infestans;ASM14294v1
phytophthora_lateralis;MPF4_v1.0
phytophthora_parasitica;Phyt_para_P1569_V1
phytophthora_ramorum;ASM14973v1
piliocolobus_tephrosceles;ASM277652v2
pistacia_vera;PisVer_v2
plasmodium_berghei;PBANKA01
plasmodium_chabaudi;PCHAS01
plasmodium_falciparum;ASM276v2
plasmodium_knowlesi;ASM635v1
plasmodium_vivax;ASM241v2
poecilia_latipinna;P_latipinna-1.0
poecilia_mexicana;P_mexicana-1.0
poecilia_reticulata;Guppy_female_1.0_MT
pogona_vitticeps;pvi1.1
pongo_abelii;Susie_PABv2
populus_trichocarpa;Pop_tri_v3
procavia_capensis;proCap1
prolemur_simus;Prosim_1.0
propithecus_coquereli;Pcoq_1.0
prunus_avium;PAV_r1.0
prunus_dulcis;ALMONDv2
prunus_persica;Prunus_persica_NCBIv2
pseudo-nitzschia_multistriata;ASM90066040v1
pteropus_vampyrus;pteVam1
pundamilia_nyererei;PunNye1.0
pygocentrus_nattereri;Pygocentrus_nattereri-1.0.2
pyrenophora_tritici-repentis;ASM14998v1
pythium_aphanidermatum;pag1_scaffolds_v1
pythium_arrhenomanes;par_scaffolds_v1
pythium_iwayamai;piw_scaffolds_v1
pythium_ultimum;pug
pythium_vexans;pve_scaffolds_v1
rattus_norvegicus;mRatBN7.2
rhinolophus_ferrumequinum;mRhiFer1_v1.p
rhinopithecus_bieti;ASM169854v1
rhinopithecus_roxellana;Rrox_v1
rhodnius_prolixus;RproC3
saccharomyces_cerevisiae;R64-1-1
saccharum_spontaneum;Sspon.HiC_chr_asm
saimiri_boliviensis;SaiBol1.0
salarias_fasciatus;fSalaFa1.1
salmo_salar;Ssal_v3.1
salmo_trutta;fSalTru1.1
salvator_merianae;HLtupMer3
sarcophilus_harrisii;mSarHar1.11
sarcoptes_scabiei;GCA014595675v1
schistosoma_mansoni;Smansoni_v7
schizosaccharomyces_pombe;ASM294v2
scleropages_formosus;fSclFor1.1
sclerotinia_sclerotiorum;ASM14694v1
scophthalmus_maximus;ASM1334776v1
serinus_canaria;SCA1
seriola_dumerili;Sdu_1.0
seriola_lalandi;Sedor1
setaria_italica;Setaria_italica_v2.0
solanum_lycopersicum;SL3.0
solanum_tuberosum;SolTub_3.0
solenopsis_invicta;UNIL_Sinv_3.0
sorghum_bicolor;Sorghum_bicolor_NCBIv3
sparus_aurata;fSpaAur1.1
sphaeramia_orbicularis;fSphaOr1.1
sphenodon_punctatus;ASM311381v1
stegodyphus_mimosarum;Stegodyphus_mimosarum_v1
stomoxys_calcitrans;ScalU1
strigamia_maritima;Smar1
strigops_habroptila;bStrHab1_v1.p
strongylocentrotus_purpuratus;Spur_5.0
strongyloides_ratti;S_ratti_ED321_v5_0_4
sus_scrofa;Sscrofa11.1
taeniopygia_guttata;bTaeGut1_v1.p
takifugu_rubripes;fTakRub1.2
teleopsis_dalmanni;GCA002237135v2
tetrahymena_thermophila;JCVI-TTA1-2.2
tetranychus_urticae;ASM23943v1
thalassiosira_pseudonana;ASM14940v2
thelohanellus_kitauei;ASM82789v1
theobroma_cacao;Theobroma_cacao_20110822
theropithecus_gelada;Tgel_1.0
toxoplasma_gondii;TGA4
tribolium_castaneum;Tcas5.2
trichinella_spiralis;Tspiralis1
trichoderma_virens;ASM17099v1
trichoplax_adhaerens;ASM15027v1
trifolium_pratense;Trpr
triticum_aestivum;IWGSC
triticum_dicoccoides;WEWSeq_v.1.0
trypanosoma_brucei;TryBru_Apr2005_chr11
tuber_melanosporum;ASM15164v1
tursiops_truncatus;turTru1
ursus_americanus;ASM334442v1
ursus_maritimus;UrsMar_1.0
verticillium_dahliae;ASM15067v2
vicugna_pacos;vicPac1
vigna_angularis;Vigan1.1
vigna_radiata;Vradiata_ver6
vitis_vinifera;PN40024.v4
vombatus_ursinus;bare-nosed_wombat_genome_assembly
vulpes_vulpes;VulVul2.2
xenopus_tropicalis;UCB_Xtro_10.0
xiphophorus_maculatus;X_maculatus-5.0-male
zea_mays;Zm-B73-REFERENCE-NAM-5.0
zootermopsis_nevadensis;ZooNev1.0
zymoseptoria_tritici;MG2
2769;ASM35022v2
3055;Chlamydomonas_reinhardtii_v5.5
3197;Marchanta_polymorpha_v1
3218;Phypa_V3
3555;RefBeet-1.2.2
3641;Theobroma_cacao_20110822
3659;ASM407v2
3694;Pop_tri_v3
3702;TAIR10
3708;AST_PRJEB5043_v1
3711;Brapa_1.0
3755;ALMONDv2
3760;Prunus_persica_NCBIv2
3847;Glycine_max_v2.1
3871;LupAngTanjil_v1.0
3880;MedtrA17_4.0
3885;PhaVulg1_0
3914;Vigan1.1
3916;Vradiata_ver6
3983;Manihot_esculenta_v6
4072;ASM51225v2
4081;SL3.0
4113;SolTub_3.0
4232;HanXRQr2.0-SUNRISE
4528;O_longistaminata_v1.0
4529;OR_W1943
4533;Oryza_brachyantha.v1.4b
4536;Oryza_nivara_v1.0
4537;Oryza_punctata_v1.2
4538;Oryza_glaberrima_V1
4555;Setaria_italica_v2.0
4558;Sorghum_bicolor_NCBIv3
4565;IWGSC
4577;Zm-B73-REFERENCE-NAM-5.0
4615;F153
4932;R64-1-1
5061;ASM285v2
5691;TryBru_Apr2005_chr11
5823;PBANKA01
5851;ASM635v1
5855;ASM241v2
5888;ASM16542v1
6183;Smansoni_v7
6238;CB4
6239;WBcel235
6279;Bmal-4.0
6282;ASM49940v2
6334;Tspiralis1
6412;Helro1
6526;BglaB1
6669;GCA021134715v1
6945;IscaW1
7029;pea_aphid_22Mar2018_4r6ur
7070;Tcas5.2
7091;Bmori_2016v1.0
7159;AaegL5
7160;AaloF1
7165;AgamP4
7167;AalbS2
7168;AdirW1
7173;AaraD1
7176;CpipJ2
7200;LlonJ1
7209;Loa_loa_V3
7217;dana_caf1
7220;dere_caf1
7222;dgri_caf1
7227;BDGP6.32
7230;dmoj_caf1
7234;dper_caf1
7238;dsec_caf1
7240;ASM75419v3
7244;dvir_caf1
7245;dyak_caf1
7260;dwil_caf1
7370;MdomA1
7375;ASM118794v1
7395;GausT1
7398;GpalI1
7425;Nvit_psr_1.1
7460;Amel_HAv3.1
7574;LinAna1.0
7668;Spur_5.0
7719;KH
7740;BraLan2
7757;Pmarinus_7.0
7764;Eburgeri_3.2
7868;Callorhinchus_milii-6.1.3
7897;LatCha1
7918;LepOcu1
7950;Ch_v2.0.2
7955;GRCz11
7994;Astyanax_mexicanus-2.0
7998;IpCoco_1.2
8005;Ee_SOAP_WITH_SSPACE
8010;Eluc_v4
8030;Ssal_v3.1
8032;fSalTru1.1
8049;gadMor3.0
8078;Fundulus_heteroclitus-3.0.2
8081;Guppy_female_1.0_MT
8083;X_maculatus-5.0-male
8090;ASM223467v1
8128;O_niloticus_UMD_NMBU
8153;AstBur1.0
8154;fAstCal1.2
8175;fSpaAur1.1
8187;ASB_HGAPassembly_v1
8364;UCB_Xtro_10.0
8478;Chrysemys_picta_bellii-3.0.3
8502;CroPor_comp1
8508;ASM311381v1
8790;droNov1
8839;ASM874695v1
8840;CAU_duck1.0
9031;GRCg6a
9103;Turkey_5.1
9135;SCA1
9258;mOrnAna1.p.v1
9305;mSarHar1.11
9315;Meug_1.0
9358;choHof1
9361;Dasnov3.0
9371;TENREC
9483;mCalJac1.pat.X
9531;Caty_1.0
9541;Macaca_fascicularis_6.0
9544;Mmul_10
9545;Mnem_1.0
9555;Panubis1.0
9565;Tgel_1.0
9568;Mleu.le_1.0
9597;panpan1.1
9598;Pan_tro_3.0
9601;Susie_PABv2
9606;GRCh38.p13
9615;Dog10K_Boxer_Tasha
9627;VulVul2.2
9643;ASM334442v1
9646;ASM200744v2
9669;MusPutFur1.0
9685;Felis_catus_9.0
9691;PanPar1.0
9739;turTru1
9796;EquCab3.0
9813;proCap1
9823;Sscrofa11.1
9838;CamDro2
9913;ARS-UCD1.2
9925;ARS1
9940;Oar_v3.1
9978;OchPri2.0-Ens
9986;OryCun2.0
9994;marMar2.1
10020;Dord_2.0
10036;MesAur1.0
10047;MunDraft-v1.0
10089;CAROLI_EIJ_v1.1
10090;GRCm39
10093;PAHARI_EIJ_v1.1
10096;SPRET_EiJ_v1
10103;MUSP714
10116;mRatBN7.2
10141;Cavpor3.0
10160;OctDeg1.0
10228;ASM15027v1
12957;Attacep1.0
13146;bMelUnd1.mat.Z
13249;RproC3
13333;AMTR1.0
13616;ASM229v1
13686;UNIL_Sinv_3.0
13735;PelSin_1.0
15368;Brachypodium_distachyon_v3.0
27687;fErpCal1.1
27923;MneLei_Aug2011
28377;AnoCar2.0v2
28743;C_variegatus-1.0
29031;PpapI1
29073;UrsMar_1.0
29139;bare-nosed_wombat_genome_assembly
29159;GCA902806645v1
29730;Graimondii2_0_v6
29760;PN40024.v4
30066;AmerM2
30069;AsteS1
30195;Bter_1.0
30521;LU_Bosgru_v3.0
30538;vicPac1
30608;Mmur_3.0
30611;OtoGar3
30732;Om_v0.7.RACA
31033;fTakRub1.2
31234;C_remanei-15.0.1
31271;PCHAS01
32264;ASM23943v1
34506;S_ratti_ED321_v5_0_4
34690;AmelC2
34691;AquaS1
34740;Hmel1
34839;ChiLan1.0
35525;GCA020631705v2
35570;ScalU1
35885;ASM357664v1
36166;Msca1
36329;ASM276v2
37001;GbreI1
37293;Anan_2.0
37546;GmorY1
37548;CavAp1.0
37653;PRJNA270931
38414;CERZOS_E.curvula1.0
38626;phaCin_unsw_v4.1
38772;ASM289641v1
39432;SaiBol1.0
39758;Mdes_1.0
39946;ASM465v1
39947;IRGSP-1.0
40148;Oryza_glumaepatula_v1.5
40149;Oryza_meridionalis_v1.3
40217;ASM382977v1
41427;atroparvus_hifiasm_n225_277Mb
41447;Sdu_1.0
42229;PAV_r1.0
42514;Pygocentrus_nattereri-1.0.2
43151;AdarC3
43179;SpeTri2.0
43346;Bison_UMD1.0
43700;M_albus_1.0
45351;ASM20922v1
46245;Dpse_3.0
47969;ASM587006v1
48699;P_latipinna-1.0
48701;P_mexicana-1.0
48709;ASM171814v1
49390;AUK_PRJEB4211_v1
49451;NIATTr2
51337;JacJac1.0
51338;C.can_genome_v1.0
52283;GCA014595675v1
52904;ASM1334776v1
55513;PisVer_v2
55577;TDr96_F1_v2_PseudoChromosome
56716;fCotGob3.1
56723;BallGen_V1
57577;Trpr
59463;Myoluc2.0
59479;mRhiFer1_v1.p
59729;bTaeGut1_v1.p
59894;FicAlb1.5
59895;CcrdV1
60711;ChlSab1.1
61383;mLynCan4_v1.p
61621;ASM169854v1
61622;Rrox_v1
61819;Midas_v5
61853;Nleu_3.0
62062;ASM331708v1
62324;AfunF3
62335;Sspon.HiC_chr_asm
63677;Ahal2.2
64144;fAnaTes1.2
65489;O.barthii_v1
67801;GpapI1
69004;AfarF2
69332;Cbr_1.0
72004;BosGru_v2.0
72036;LSalAtl2s
74533;PanTig1.0
74869;AmacM1
74873;AsinS2
77586;Lperr_V1.4
79200;ASM162521v1
79684;MicOch1.0
79782;Clec_2.0
81972;v.1.0
85681;Citrus_clementina_v1.0
85692;WEWSeq_v.1.0
93934;Coturnix_japonica_2.0
96440;HLtupMer3
103695;pvi1.1
104782;AMS_PRJEB1171_v1
106582;M_zebra_UMD2a
106734;ASM359739v1
109280;H_comes_QL1_v1
109376;BOL
110835;ASM97063v1
112268;AminM1
112509;MorexV3_pseudomolecules_assembly
113334;MelCinx1.0
113540;fSclFor1.1
121224;PhumU2
126957;Smar1
130081;ASM34128v1
132113;BIMP_2.2
132908;pteVam1
135651;C_brenneri-6.0.1b
136037;ZooNev1.0
139649;GCA002237135v2
139723;AculA1
158386;O_europaea_v1
158441;ASM221717v1
158456;fBetSpl5.2
164328;ASM14973v1
173247;fEcheNa1.1
176275;ASM168263v1
179676;Cson1
181472;fSalaFa1.1
183589;ASM90066040v1
184922;GL2
199890;AepiE1
200361;Aet_v4.0
205130;fMasArm1.2
206008;PHallii_v3.1
210143;CCACVL1_1.0
210632;fParRan2.1
214687;Musa_acuminata_v2
215358;L_crocea_2.0
217634;Agla_2.0
223781;bAquChr1.2
225164;Lotgi1
227321;ASM1142v1
230844;HU_Pman_2.1
242507;MG8
244447;Cse_v1.0
280463;Emiliana_huxleyi_CCMP1516_main_genome_assembly...
280699;ASM9120v1
281687;C_japonica-7.0.1
283909;Capitella_teleta_v1.0
284811;ASM9102v1
284812;ASM294v2
286419;ASM325472v1
294381;JCVI-ESG2-1.0
296543;ASM14940v2
299123;LonStrDom1
299321;fDenClu1.1
299467;LdelU1
303518;PunNye1.0
312017;JCVI-TTA1-2.2
315563;ASM77530v1
321398;Lepidothrix_coronata-1.0
321614;ASM14691v1
328815;ASM171598v2
331117;ASM14964v1
332648;ASM83294v1
332952;JCVI-afl1-v2.0
334819;ASM14955v1
336722;MG2
336983;Cang.pa_1.0
341663;ASM14961v1
344612;ASM271v1
347515;ASM272v2
352472;dicty_2.7
367110;NC12
375764;fSphaOr1.1
379532;Pcoq_1.0
400682;Aqu1
403677;ASM14294v1
407821;Stegodyphus_mimosarum_v1
413071;ASM17099v1
426418;ASM14998v1
426428;FO2
431595;pug
436017;ASM9206v1
441366;fGouWil2.1
442651;HmiaM1
452646;NNQGG.v01
498257;ASM15067v2
508771;TGA4
510516;ASM18445v3
546991;EF2
556484;ASM15095v2
559292;R64-1-1
559515;HyaAraEmoy2_2.0
586833;fMyrMur1.1
591936;ASM277652v2
644352;Gae_graminis_V2
644358;Mag_poae_ATCC_64411_V1
645133;C_graminicola_M1_001_V1
656061;ASM15164v1
665079;ASM14694v1
669202;ASM82789v1
753081;Bigna1
885580;DMR_v1.0
905079;Guith1
985895;ASM23037v1
1026970;S.galili_v1.0
1223555;pag1_scaffolds_v1
1223556;par_scaffolds_v1
1223557;pir_scaffolds_v1
1223558;piw_scaffolds_v1
1223560;pve_scaffolds_v1
1254522;MPF4_v1.0
1317065;Phyt_para_P1569_V1
1328070;Prosim_1.0
1504633;PhalliiHAL_v2.1
1518534;AcolM1
1590841;Red5_PS1_1.69.0
1676925;PKINGS_0.1
1841481;Sedor1
1868482;Tarsius_syrichta-2.0.1
1965070;DtinU1
2489341;bStrHab1_v1.p
